experiment,representation,corpus,algorithm,family,repeat,fold,n_train,n_test,macro_f1,spam_f1,pr_auc,roc_auc,mcc,balanced_accuracy,accuracy,recall_at_99_precision,tn,fp,fn,tp,train_time_s,predict_ms_per_1000,n_configs
E2,char,full,MultinomialNB,Linear / probabilistic,1,1,4459,1115,0.9719236524792081,0.951048951048951,0.9815826164578588,0.9924062417496908,0.9449564464078356,0.9558582405824891,0.9874439461883409,0.912751677852349,965,1,13,136,9.954629810999904,81.30269147984063,8
E2,char,full,LogisticRegression,Linear / probabilistic,1,1,4459,1115,0.9781352671989789,0.9619377162629758,0.9884238434558862,0.9969638862256313,0.956889329904284,0.9659253546764489,0.9901345291479821,0.9463087248322147,965,1,10,139,12.01833138500001,80.88416771304341,8
E2,char,full,LinearSVM,Kernel (linear),1,1,4459,1115,0.9760770683144524,0.9583333333333334,0.9886607818154979,0.9971097864298915,0.9529201680324081,0.9625696499784624,0.989237668161435,0.9463087248322147,965,1,11,138,11.49720688800005,81.58879551564957,8
E2,char,full,kNN,Instance-based,1,1,4459,1115,0.9547964087746197,0.920863309352518,0.9549712519293106,0.9751240151736212,0.9127428319620174,0.9290126029985966,0.9802690582959641,0.87248322147651,965,1,21,128,14.112834300000031,227.274821524727,8
E2,char,full,RandomForest,Ensemble,1,1,4459,1115,0.9696461530922811,0.9469964664310954,0.9824836881798511,0.9950498144983118,0.941051355274712,0.9496644295302014,0.9865470852017937,0.912751677852349,966,0,15,134,46.695293289999995,129.35475426005755,8
E2,char,full,MultinomialNB,Linear / probabilistic,1,2,4459,1115,0.9825204972644186,0.9696969696969697,0.991603665697648,0.9951713980018619,0.9650483357731582,0.981151083135326,0.9919282511210762,0.959731543624161,962,4,5,144,10.164441742000008,84.1918600897183,8
E2,char,full,LogisticRegression,Linear / probabilistic,1,2,4459,1115,0.992164221060325,0.9863945578231292,0.990738381269435,0.9943932635791406,0.9844497725816391,0.9865771812080537,0.9964125560538116,0.9798657718120806,966,0,4,145,11.490323270999966,83.71320358749028,8
E2,char,full,LinearSVM,Kernel (linear),1,2,4459,1115,0.992164221060325,0.9863945578231292,0.9907747315744724,0.9946642211013381,0.9844497725816391,0.9865771812080537,0.9964125560538116,0.9798657718120806,966,0,4,145,11.21185562200003,80.88918565021632,8
E2,char,full,kNN,Instance-based,1,2,4459,1115,0.9719236524792081,0.951048951048951,0.9784765084369935,0.9884773576778247,0.9449564464078356,0.9558582405824891,0.9874439461883409,0.912751677852349,965,1,13,136,13.701782002999948,241.8894582960635,8
E2,char,full,RandomForest,Ensemble,1,2,4459,1115,0.9821106731628009,0.9688581314878892,0.9947740539921057,0.9986903719760446,0.9648440855638797,0.9697986577181208,0.9919282511210762,0.9731543624161074,966,0,9,140,48.106597729999976,209.34111300454538,8
