experiment,representation,corpus,algorithm,family,repeat,fold,n_train,n_test,macro_f1,spam_f1,pr_auc,roc_auc,mcc,balanced_accuracy,accuracy,recall_at_99_precision,tn,fp,fn,tp,train_time_s,predict_ms_per_1000,n_configs
E1,word,full,LinearSVM,Kernel (linear),3,5,4460,1114,0.9785106140450868,0.9627118644067796,0.9822593044990902,0.9929791007406892,0.9570876552482294,0.9744375282539904,0.9901256732495513,0.953020134228188,961,4,7,142,2.427926898999999,15.05737073616394,8
E1,word,full,kNN,Instance-based,3,5,4460,1114,0.9589005718502122,0.9280575539568344,0.9565920695015592,0.9749869596967694,0.9209737721523926,0.9328859060402684,0.9820466786355476,0.9261744966442952,965,0,20,129,3.2548585549999416,56.662722621163645,8
E1,word,full,RandomForest,Ensemble,3,5,4460,1114,0.976214369595388,0.9586206896551724,0.9806899689532717,0.989369544806482,0.9529133819445323,0.9654066835900824,0.9892280071813284,0.9261744966442952,963,2,10,139,27.02757153999994,37.86202603238572,8
E2,char,full,MultinomialNB,Linear / probabilistic,1,1,4459,1115,0.971923652479208,0.951048951048951,0.9815826164578588,0.9924062417496908,0.9449564464078356,0.9558582405824892,0.9874439461883407,0.912751677852349,965,1,13,136,9.954629810999904,81.30269147984063,8
E2,char,full,LogisticRegression,Linear / probabilistic,1,1,4459,1115,0.9781352671989788,0.9619377162629758,0.9884238434558862,0.9969638862256311,0.956889329904284,0.9659253546764488,0.990134529147982,0.9463087248322148,965,1,10,139,12.01833138500001,80.88416771304341,8
E2,char,full,LinearSVM,Kernel (linear),1,1,4459,1115,0.9760770683144524,0.9583333333333334,0.988660781815498,0.9971097864298916,0.952920168032408,0.9625696499784624,0.989237668161435,0.9463087248322148,965,1,11,138,11.49720688800005,81.58879551564957,8
E2,char,full,kNN,Instance-based,1,1,4459,1115,0.9547964087746196,0.920863309352518,0.9549712519293106,0.9751240151736212,0.9127428319620174,0.9290126029985966,0.980269058295964,0.87248322147651,965,1,21,128,14.112834300000031,227.274821524727,8
E2,char,full,RandomForest,Ensemble,1,1,4459,1115,0.9696461530922812,0.9469964664310954,0.9824836881798512,0.9950498144983118,0.941051355274712,0.9496644295302014,0.9865470852017936,0.912751677852349,966,0,15,134,46.69529329,129.35475426005755,8
E2,char,full,MultinomialNB,Linear / probabilistic,1,2,4459,1115,0.9825204972644186,0.9696969696969696,0.991603665697648,0.995171398001862,0.9650483357731582,0.981151083135326,0.9919282511210762,0.959731543624161,962,4,5,144,10.164441742000008,84.1918600897183,8
E2,char,full,LogisticRegression,Linear / probabilistic,1,2,4459,1115,0.992164221060325,0.9863945578231292,0.990738381269435,0.9943932635791406,0.9844497725816392,0.9865771812080536,0.9964125560538116,0.9798657718120806,966,0,4,145,11.490323270999966,83.71320358749028,8
E2,char,full,LinearSVM,Kernel (linear),1,2,4459,1115,0.992164221060325,0.9863945578231292,0.9907747315744724,0.994664221101338,0.9844497725816392,0.9865771812080536,0.9964125560538116,0.9798657718120806,966,0,4,145,11.21185562200003,80.88918565021632,8
E2,char,full,kNN,Instance-based,1,2,4459,1115,0.971923652479208,0.951048951048951,0.9784765084369936,0.9884773576778249,0.9449564464078356,0.9558582405824892,0.9874439461883407,0.912751677852349,965,1,13,136,13.701782002999948,241.8894582960635,8
E2,char,full,RandomForest,Ensemble,1,2,4459,1115,0.9821106731628008,0.9688581314878892,0.9947740539921056,0.9986903719760446,0.9648440855638796,0.9697986577181208,0.9919282511210762,0.9731543624161074,966,0,9,140,48.106597729999976,209.34111300454535,8
E2,char,full,MultinomialNB,Linear / probabilistic,1,3,4459,1115,0.9845941278065632,0.9733333333333334,0.9922094682922256,0.99546804835924,0.969188255613126,0.9845941278065632,0.9928251121076234,0.96,961,4,4,146,10.164357203000009,83.12792017936303,8
E2,char,full,LogisticRegression,Linear / probabilistic,1,3,4459,1115,0.9864817820146214,0.9765886287625418,0.9941946231315372,0.9980379965457684,0.972970868117397,0.9851122625215888,0.9937219730941704,0.9666666666666668,962,3,4,146,11.458780306999984,83.01332735430604,8
E2,char,full,LinearSVM,Kernel (linear),1,3,4459,1115,0.9883800908749844,0.9798657718120806,0.9937191069763526,0.9977409326424872,0.9767896517704328,0.9856303972366148,0.9946188340807176,0.96,963,2,4,146,11.661908215999915,88.1168394618212,8
E2,char,full,kNN,Instance-based,1,3,4459,1115,0.978513554942408,0.9627118644067796,0.9693491594647744,0.9827115716753024,0.9572116020870328,0.9717789291882556,0.990134529147982,0.9,962,3,8,142,13.701230469000052,236.1931103138841,8
E2,char,full,RandomForest,Ensemble,1,3,4459,1115,0.9842373863748816,0.9726027397260274,0.9903713847047416,0.9937443868739206,0.9689598439414034,0.9733333333333334,0.9928251121076234,0.96,965,0,8,142,48.61097367299999,175.86222600894698,8
E2,char,full,MultinomialNB,Linear / probabilistic,1,4,4459,1115,0.9561412919098295,0.9236111111111112,0.9709888777071336,0.9876269430051814,0.9133506558895916,0.9407426597582038,0.980269058295964,0.84,960,5,17,133,9.880371416999992,77.07063049333004,8
E2,char,full,LogisticRegression,Linear / probabilistic,1,4,4459,1115,0.9727319097794797,0.9527027027027029,0.983087423881417,0.9921243523316062,0.9455801336935548,0.9674093264248704,0.9874439461883407,0.92,960,5,9,141,11.560315619999985,77.3828286994935,8
E2,char,full,LinearSVM,Kernel (linear),1,4,4459,1115,0.9725747737111372,0.9523809523809524,0.982072652643281,0.9921312607944732,0.9454142349909482,0.9645941278065632,0.9874439461883407,0.9333333333333332,961,4,10,140,11.320348849000084,82.53642152466468,8
E2,char,full,kNN,Instance-based,1,4,4459,1115,0.9428205128205128,0.9,0.9471801937561708,0.9727910189982728,0.8886902165704169,0.9179274611398964,0.9748878923766816,0.74,961,4,24,126,13.53872374499997,210.9611264574184,8
